Region,Target,Model,RMSE,MAE,MAPE
London,HPI,Naive,1.4224901619587973,1.2173913043478255,1.244383736729689
London,HPI,"ARIMA(3, 1, 0)",1.83779006840303,1.347464963721818,1.3940899719855269
London,AffordabilityRatio,Naive,0.08294645027609716,0.07165222172736406,3.651498532207516
London,AffordabilityRatio,"ARIMA(3, 1, 0)",0.09740048143143243,0.08361199382608021,4.26496295264819
North West,HPI,Naive,5.504977984397002,4.952173913043481,4.569128198118619
North West,HPI,"ARIMA(2, 1, 5)",3.856743366802355,3.238806874694499,2.980976657100677
North West,AffordabilityRatio,Naive,0.06688251539435441,0.053530983568903456,1.8490609680059513
North West,AffordabilityRatio,"ARIMA(0, 1, 0)",0.06688251539435441,0.053530983568903456,1.8490609680059513
South East,HPI,Naive,1.8767455642796842,1.7782608695652145,1.8112797728879966
South East,HPI,"ARIMA(3, 1, 0)",0.7315963813876271,0.5942013436635835,0.6066623026212138
South East,AffordabilityRatio,Naive,0.02827458837660736,0.02307560006057805,0.9322486443128929
South East,AffordabilityRatio,"ARIMA(4, 1, 1)",0.03388061298822553,0.030083753117861885,1.2249623727177525
Wales,HPI,Naive,2.934280150224238,2.4304347826086916,2.3208194435316027
Wales,HPI,"ARIMA(4, 1, 0)",1.8090243287243573,1.5017126157508915,1.4357043277863275
Wales,AffordabilityRatio,Naive,0.055034239556338724,0.043012023298677454,1.4851158066860655
Wales,AffordabilityRatio,"ARIMA(0, 1, 0)",0.055034239556338516,0.043012023298677315,1.4851158066860615
Yorkshire and The Humber,HPI,Naive,3.6600665235104337,3.143478260869567,2.9263400519828004
Yorkshire and The Humber,HPI,"ARIMA(3, 1, 0)",2.354904578746476,1.8949519316189969,1.7668427190531903
Yorkshire and The Humber,AffordabilityRatio,Naive,0.05639234681959985,0.0456780014335093,1.5321290913374999
Yorkshire and The Humber,AffordabilityRatio,"ARIMA(0, 1, 0)",0.05639234681959985,0.0456780014335093,1.5321290913374999
