Region,Target,Model,RMSE,MAE,MAPE
London,AffordabilityRatio,Multi-task LSTM (α=0.4),0.0334408946003169,0.0276460475007973,1.3877641384153585
North West,AffordabilityRatio,"SARIMA(3, 1, 0)x(1, 0, 1, 12)",0.0588143428754003,0.0498208691771779,1.7139980479631924
South East,AffordabilityRatio,Naive,0.0282745883766073,0.023075600060578,0.9322486443128928
Wales,AffordabilityRatio,"SARIMA(1, 1, 2)x(2, 0, 2, 12)",0.0482652757272955,0.0395284941638426,1.3447856936446934
Yorkshire and The Humber,AffordabilityRatio,Naive,0.0563923468195998,0.0456780014335093,1.5321290913375
London,HPI,Naive,1.4224901619587973,1.2173913043478255,1.244383736729689
North West,HPI,"SARIMA(1, 1, 0)x(1, 0, 1, 12)",1.8667613613718832,1.5629588797802028,1.450938535653044
South East,HPI,"ARIMA(3, 1, 0)",0.7315963813876271,0.5942013436635835,0.6066623026212138
Wales,HPI,"SARIMA(1, 1, 0)x(2, 0, 2, 12)",0.8363977664870422,0.7465030338839213,0.7216109577241806
Yorkshire and The Humber,HPI,"SARIMA(3, 1, 3)x(1, 0, 1, 12)",1.755735152584207,1.3970112188413746,1.3075853502427643
