Date,HPI,SalesVolume,Region,Year,MedianAnnualPay,CPI,BaseRate,AffordabilityRatio
2000-06-01,26.9,14270.0,London,2000,24204.0,72.9,6.0,1.1113865476780695
2000-07-01,27.4,13278.0,London,2000,24204.0,72.5,6.0,1.132044290199967
2000-08-01,27.6,12690.0,London,2000,24204.0,72.5,6.0,1.140307387208726
2000-09-01,27.6,11521.0,London,2000,24204.0,73.1,6.0,1.140307387208726
2000-10-01,27.3,11068.0,London,2000,24204.0,73.1,6.0,1.1279127416955876
2000-11-01,27.7,11301.0,London,2000,24204.0,73.2,6.0,1.1444389357131053
2000-12-01,27.7,11983.0,London,2000,24204.0,73.2,6.0,1.1444389357131053
2001-01-01,28.0,10315.0,London,2001,25215.0,72.6,6.0,1.110450128891533
2001-02-01,28.1,9963.0,London,2001,25215.0,72.7,6.0,1.1144160222090027
2001-03-01,28.3,12882.0,London,2001,25215.0,73.0,5.75,1.1223478088439423
2001-04-01,28.7,12330.0,London,2001,25215.0,73.4,5.75,1.1382113821138211
2001-05-01,29.5,13965.0,London,2001,25215.0,74.0,5.5,1.1699385286535793
2001-06-01,29.8,15564.0,London,2001,25215.0,74.1,5.25,1.1818362086059886
2001-07-01,30.2,16048.0,London,2001,25215.0,73.6,5.25,1.1976997818758675
2001-08-01,30.9,17306.0,London,2001,25215.0,73.9,5.25,1.2254610350981558
2001-09-01,30.9,13820.0,London,2001,25215.0,74.1,5.0,1.2254610350981558
2001-10-01,31.2,14320.0,London,2001,25215.0,73.9,4.75,1.237358715050565
2001-11-01,31.4,14294.0,London,2001,25215.0,73.8,4.5,1.2452905016855045
2001-12-01,31.4,11937.0,London,2001,25215.0,74.0,4.0,1.2452905016855045
2002-01-01,31.9,10337.0,London,2002,26467.0,73.7,4.0,1.2052744927645747
2002-02-01,32.0,10786.0,London,2002,26467.0,73.8,4.0,1.2090527827105453
2002-03-01,32.4,13747.0,London,2002,26467.0,74.1,4.0,1.2241659424944271
2002-04-01,33.4,14025.0,London,2002,26467.0,74.4,4.0,1.2619488419541316
2002-05-01,34.3,17735.0,London,2002,26467.0,74.6,4.0,1.2959534514678657
2002-06-01,34.9,14368.0,London,2002,26467.0,74.6,4.0,1.3186231911436883
2002-07-01,35.8,18061.0,London,2002,26467.0,74.4,4.0,1.3526278006574224
2002-08-01,36.6,17567.0,London,2002,26467.0,74.6,4.0,1.382854120225186
2002-09-01,37.0,15091.0,London,2002,26467.0,74.8,4.0,1.397967280009068
2002-10-01,37.3,14509.0,London,2002,26467.0,74.9,4.0,1.409302149846979
2002-11-01,38.0,14324.0,London,2002,26467.0,74.9,4.0,1.4357501794687726
2002-12-01,38.2,13443.0,London,2002,26467.0,75.2,4.0,1.4433067593607136
2003-01-01,38.8,11365.0,London,2003,27455.0,74.7,4.0,1.4132216354033873
2003-02-01,38.7,10320.0,London,2003,27455.0,75.0,4.0,1.4095793116008013
2003-03-01,38.6,10600.0,London,2003,27455.0,75.3,3.75,1.4059369877982153
2003-04-01,39.0,10380.0,London,2003,27455.0,75.5,3.75,1.4205062830085595
2003-05-01,39.5,11169.0,London,2003,27455.0,75.5,3.75,1.4387179020214897
2003-06-01,39.2,11990.0,London,2003,27455.0,75.4,3.75,1.4277909306137317
2003-07-01,40.1,13468.0,London,2003,27455.0,75.3,3.75,1.460571844837006
2003-08-01,39.9,14417.0,London,2003,27455.0,75.6,3.5,1.453287197231834
2003-09-01,39.9,14741.0,London,2003,27455.0,75.9,3.5,1.453287197231834
2003-10-01,40.2,15741.0,London,2003,27455.0,76.0,3.5,1.4642141686395922
2003-11-01,40.4,14754.0,London,2003,27455.0,75.9,3.5,1.4714988162447642
2003-12-01,40.7,14839.0,London,2003,27455.0,76.2,3.75,1.4824257876525224
2004-01-01,41.0,12767.0,London,2004,28750.0,75.8,3.75,1.4260869565217391
2004-02-01,41.2,12160.0,London,2004,28750.0,76.0,3.75,1.4330434782608696
2004-03-01,41.5,14409.0,London,2004,28750.0,76.1,4.0,1.4434782608695653
2004-04-01,42.4,14873.0,London,2004,28750.0,76.4,4.0,1.4747826086956521
2004-05-01,42.6,13613.0,London,2004,28750.0,76.6,4.0,1.4817391304347827
2004-06-01,43.2,16163.0,London,2004,28750.0,76.6,4.25,1.502608695652174
2004-07-01,43.9,17612.0,London,2004,28750.0,76.4,4.5,1.5269565217391303
2004-08-01,44.0,15020.0,London,2004,28750.0,76.6,4.5,1.5304347826086957
2004-09-01,43.9,13500.0,London,2004,28750.0,76.7,4.75,1.5269565217391303
2004-10-01,43.6,12031.0,London,2004,28750.0,76.9,4.75,1.5165217391304349
2004-11-01,44.0,10790.0,London,2004,28750.0,77.0,4.75,1.5304347826086957
2004-12-01,43.2,10859.0,London,2004,28750.0,77.4,4.75,1.502608695652174
2005-01-01,43.6,8020.0,London,2005,29882.0,77.0,4.75,1.4590723512482433
2005-02-01,43.4,7829.0,London,2005,29882.0,77.2,4.75,1.4523793588113245
2005-03-01,43.4,9361.0,London,2005,29882.0,77.5,4.75,1.4523793588113245
2005-04-01,44.1,10290.0,London,2005,29882.0,77.8,4.75,1.4758048323405395
2005-05-01,44.2,10649.0,London,2005,29882.0,78.1,4.75,1.4791513285589988
2005-06-01,44.2,12308.0,London,2005,29882.0,78.1,4.75,1.4791513285589988
2005-07-01,44.6,13536.0,London,2005,29882.0,78.2,4.75,1.492537313432836
2005-08-01,44.6,13208.0,London,2005,29882.0,78.4,4.75,1.492537313432836
2005-09-01,44.4,13541.0,London,2005,29882.0,78.6,4.5,1.4858443209959171
2005-10-01,43.9,12382.0,London,2005,29882.0,78.7,4.5,1.4691118399036207
2005-11-01,44.4,12568.0,London,2005,29882.0,78.7,4.5,1.4858443209959171
2005-12-01,44.7,13144.0,London,2005,29882.0,78.9,4.5,1.4958838096512952
2006-01-01,45.0,10862.0,London,2006,30355.0,78.5,4.5,1.482457585241311
2006-02-01,44.8,10885.0,London,2006,30355.0,78.8,4.5,1.4758688848624608
2006-03-01,45.3,13982.0,London,2006,30355.0,78.9,4.5,1.4923406358095863
2006-04-01,46.0,11953.0,London,2006,30355.0,79.4,4.5,1.5154010871355623
2006-05-01,46.4,13349.0,London,2006,30355.0,79.9,4.5,1.528578487893263
2006-06-01,47.1,16075.0,London,2006,30355.0,80.1,4.5,1.551638939219239
2006-07-01,47.6,16182.0,London,2006,30355.0,80.0,4.5,1.5681106901663648
2006-08-01,48.1,16833.0,London,2006,30355.0,80.4,4.5,1.5845824411134903
2006-09-01,48.3,15674.0,London,2006,30355.0,80.5,4.75,1.5911711414923406
2006-10-01,48.6,15193.0,London,2006,30355.0,80.6,4.75,1.601054192060616
2006-11-01,48.5,15230.0,London,2006,30355.0,80.8,4.75,1.597759841871191
2006-12-01,49.6,15232.0,London,2006,30355.0,81.3,5.0,1.6339976939548675
2007-01-01,50.2,12794.0,London,2007,31484.0,80.6,5.0,1.5944606784398425
2007-02-01,50.8,12194.0,London,2007,31484.0,81.0,5.25,1.6135179773853385
2007-03-01,51.3,14546.0,London,2007,31484.0,81.4,5.25,1.6293990598399186
2007-04-01,52.3,12568.0,London,2007,31484.0,81.6,5.25,1.661161224749079
2007-05-01,53.0,14059.0,London,2007,31484.0,81.8,5.25,1.683394740185491
2007-06-01,53.6,15799.0,London,2007,31484.0,82.0,5.5,1.7024520391309872
2007-07-01,55.5,16037.0,London,2007,31484.0,81.5,5.5,1.7628001524583916
2007-08-01,55.8,16824.0,London,2007,31484.0,81.8,5.75,1.7723288019311394
2007-09-01,56.0,13748.0,London,2007,31484.0,81.9,5.75,1.7786812349129717
2007-10-01,56.0,13890.0,London,2007,31484.0,82.3,5.75,1.7786812349129717
2007-11-01,55.8,13174.0,London,2007,31484.0,82.5,5.75,1.7723288019311394
2007-12-01,55.9,9938.0,London,2007,31484.0,83.0,5.75,1.7755050184220558
2008-01-01,56.0,8541.0,London,2008,32813.0,82.4,5.5,1.7066406607137414
2008-02-01,55.5,8773.0,London,2008,32813.0,83.0,5.5,1.6914027976716546
2008-03-01,55.1,8002.0,London,2008,32813.0,83.4,5.25,1.6792125072379849
2008-04-01,55.2,8074.0,London,2008,32813.0,84.0,5.25,1.6822600798464025
2008-05-01,55.4,8075.0,London,2008,32813.0,84.6,5.0,1.688355225063237
2008-06-01,54.4,7540.0,London,2008,32813.0,85.2,5.0,1.657879498979063
2008-07-01,54.4,6935.0,London,2008,32813.0,85.1,5.0,1.657879498979063
2008-08-01,52.8,5982.0,London,2008,32813.0,85.7,5.0,1.609118337244385
2008-09-01,51.8,5191.0,London,2008,32813.0,86.1,5.0,1.5786426111602108
2008-10-01,50.1,5225.0,London,2008,32813.0,85.9,5.0,1.5268338768171152
2008-11-01,48.5,4078.0,London,2008,32813.0,85.8,4.5,1.4780727150824369
