Region,Target,Model,RMSE,MAE,MAPE
London,HPI,Multi-task LSTM (α=0.4),1.6071909352983966,1.3988098807956835,1.4290030507377802
London,AffordabilityRatio,Multi-task LSTM (α=0.4),0.03344089460031693,0.027646047500797383,1.3877641384153583
North West,HPI,Multi-task LSTM (α=0.7),4.045571860219792,3.8806259818699043,3.6046233537368346
North West,AffordabilityRatio,Multi-task LSTM (α=0.7),0.1141191743086917,0.0915676228956594,3.1964405118603585
South East,HPI,Multi-task LSTM (α=0.5),5.660046573402455,5.6071594901706865,5.71926232169921
South East,AffordabilityRatio,Multi-task LSTM (α=0.5),0.0498912002807999,0.04284587098679283,1.74716202955267
Wales,HPI,Multi-task LSTM (α=0.5),2.0493633597662027,1.8022214143172548,1.7322043401978804
Wales,AffordabilityRatio,Multi-task LSTM (α=0.5),0.052279276659170586,0.04641463823036422,1.5815917840231195
Yorkshire and The Humber,HPI,Multi-task LSTM (α=0.7),6.260365368662309,6.071366815981662,5.693105291960422
Yorkshire and The Humber,AffordabilityRatio,Multi-task LSTM (α=0.7),0.07851562096589006,0.07009285455897461,2.3250035565975433
