Region,Target,Model,RMSE,MAE,MAPE
London,HPI,"SARIMA(3, 1, 0)x(1, 0, 1, 12)",2.5750726386602705,1.8551037020405936,1.9200693073411985
London,AffordabilityRatio,"SARIMA(3, 1, 0)x(1, 0, 2, 12)",0.06644613289988133,0.05455384682516829,2.783294236528388
North West,HPI,"SARIMA(1, 1, 0)x(1, 0, 1, 12)",1.8667613613718832,1.5629588797802028,1.450938535653044
North West,AffordabilityRatio,"SARIMA(3, 1, 0)x(1, 0, 1, 12)",0.05881434287540033,0.04982086917717796,1.7139980479631924
South East,HPI,"SARIMA(3, 1, 0)x(1, 0, 1, 12)",1.2490958679194866,1.0740404783091504,1.0974089802063258
South East,AffordabilityRatio,"SARIMA(3, 1, 0)x(1, 0, 2, 12)",0.04049563984407701,0.033035139665978264,1.3437280062709525
Wales,HPI,"SARIMA(1, 1, 0)x(2, 0, 2, 12)",0.8363977664870422,0.7465030338839213,0.7216109577241806
Wales,AffordabilityRatio,"SARIMA(1, 1, 2)x(2, 0, 2, 12)",0.048265275727295595,0.03952849416384262,1.3447856936446934
Yorkshire and The Humber,HPI,"SARIMA(3, 1, 3)x(1, 0, 1, 12)",1.755735152584207,1.3970112188413746,1.3075853502427643
Yorkshire and The Humber,AffordabilityRatio,"SARIMA(1, 1, 0)x(1, 0, 2, 12)",0.0640001444013066,0.048634741075841,1.6155767928400349
