,London,North West,South East,Wales,Yorkshire and The Humber
12 months ago,0.021702588086542872,0.01533558496079691,0.0187099699050836,0.012961095191376368,0.02249404965810802
11 months ago,0.024941560236089254,0.018299920745112976,0.02195866844398172,0.017523894886526722,0.025314119600245495
10 months ago,0.028288939930255646,0.02172218550138337,0.025372148938315072,0.02280628568938245,0.028132889111566802
9 months ago,0.03132516658905407,0.025567322918051926,0.02891175698472754,0.028669863077123527,0.031263624448005276
8 months ago,0.03424222579719904,0.029737585204410475,0.03240045061837073,0.034824664132912526,0.034286255406782686
7 months ago,0.03673418419937725,0.03451708468304866,0.03586228203206607,0.041119414955377576,0.037034578952452414
6 months ago,0.03903427696025565,0.039742948952697865,0.03911441009702243,0.0470060910763138,0.03991340184778624
5 months ago,0.04032099098404463,0.0453806743407622,0.041759415229539514,0.05205934302152499,0.04240362494260721
4 months ago,0.041108216825629706,0.05151924352870201,0.04343022846965038,0.05558756027548857,0.044686594878039936
3 months ago,0.040972119582250055,0.05786624242895808,0.04403524150116289,0.05605289079864388,0.04644061657689188
2 months ago,0.03959376710296973,0.06446260932205326,0.04241258830755302,0.05249767748525609,0.04739954027031428
1 months ago,0.03673211370870146,0.0769930380957363,0.035216444978247524,0.0376732772609786,0.054736737265697
