"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","House price index Detached houses","House price index Semi-detached houses","House price index Terraced houses","House price index Flats and maisonettes","Pivotable date"
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2000-06,13173,monthly,25.2,27.7,25.2,23.5,28.1,2000-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2000-07,12163,monthly,25.6,28.8,25.6,23.6,27.9,2000-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2000-08,12447,monthly,25.9,29.1,25.9,23.8,29.0,2000-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2000-09,11741,monthly,25.9,29.1,25.7,23.9,28.9,2000-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2000-10,11086,monthly,26.0,29.5,26.2,23.7,28.9,2000-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2000-11,10842,monthly,26.1,29.6,26.1,23.9,29.3,2000-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2000-12,11698,monthly,26.4,29.3,26.4,24.3,30.4,2000-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2001-01,7914,monthly,26.3,29.8,26.3,24.2,29.5,2001-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2001-02,8211,monthly,26.1,29.4,26.1,23.9,29.6,2001-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2001-03,11426,monthly,26.2,29.4,26.3,24.1,29.7,2001-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2001-04,10777,monthly,27.1,30.4,27.0,24.9,30.6,2001-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2001-05,11978,monthly,27.2,30.1,27.2,25.1,30.9,2001-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2001-06,13370,monthly,27.9,30.9,27.9,25.8,31.8,2001-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2001-07,13607,monthly,28.3,31.9,28.3,26.0,31.9,2001-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2001-08,15296,monthly,28.6,32.2,28.5,26.3,32.8,2001-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2001-09,11992,monthly,28.9,32.7,28.6,26.5,33.2,2001-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2001-10,13358,monthly,28.8,32.5,28.9,26.3,32.8,2001-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2001-11,14416,monthly,29.0,32.6,29.1,26.4,33.3,2001-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2001-12,12166,monthly,29.4,32.8,29.5,26.7,34.7,2001-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2002-01,9153,monthly,29.1,33.1,29.3,26.4,33.4,2002-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2002-02,10280,monthly,29.0,32.6,29.0,26.5,33.7,2002-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2002-03,13382,monthly,30.0,33.4,30.1,27.4,35.1,2002-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2002-04,12205,monthly,30.4,33.9,30.5,27.8,35.9,2002-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2002-05,17109,monthly,31.7,35.2,31.9,29.0,36.9,2002-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2002-06,13399,monthly,32.3,35.9,32.3,29.5,38.2,2002-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2002-07,16080,monthly,33.3,37.5,33.3,30.4,38.7,2002-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2002-08,16673,monthly,33.8,37.8,33.9,30.8,39.6,2002-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2002-09,13657,monthly,33.8,37.9,34.0,30.6,39.6,2002-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2002-10,14338,monthly,34.2,38.3,34.5,30.9,39.9,2002-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2002-11,15891,monthly,35.2,39.5,35.4,32.0,41.4,2002-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2002-12,14163,monthly,35.6,39.4,36.0,32.3,42.1,2002-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-01,10931,monthly,35.8,40.3,36.0,32.6,41.7,2003-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-02,10670,monthly,35.8,39.7,36.3,32.4,42.1,2003-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-03,11787,monthly,36.3,40.4,36.5,32.9,42.6,2003-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-04,12301,monthly,38.0,42.2,38.5,34.6,44.0,2003-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-05,13781,monthly,39.0,43.2,39.5,35.6,45.3,2003-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-06,13687,monthly,39.7,43.5,39.9,36.4,47.0,2003-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-07,14337,monthly,41.1,44.8,41.5,37.6,47.8,2003-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-08,15492,monthly,42.2,46.0,42.5,38.7,49.2,2003-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-09,14679,monthly,42.2,46.0,42.6,38.8,49.2,2003-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-10,17128,monthly,43.2,46.9,43.5,39.9,50.2,2003-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-11,15994,monthly,44.0,47.6,44.5,40.6,51.3,2003-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-12,16396,monthly,45.3,48.0,45.6,42.2,54.2,2003-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-01,11657,monthly,45.1,48.5,45.3,41.8,52.7,2004-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-02,11788,monthly,45.7,48.9,45.8,42.6,53.0,2004-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-03,14123,monthly,46.4,49.2,46.3,43.5,54.5,2004-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-04,15963,monthly,49.2,51.0,49.2,46.7,56.6,2004-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-05,14450,monthly,50.9,52.5,50.6,48.6,59.0,2004-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-06,16448,monthly,52.5,54.0,52.1,49.9,61.7,2004-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-07,17383,monthly,54.6,56.0,54.5,52.2,62.6,2004-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-08,14919,monthly,55.2,56.8,54.9,52.7,63.5,2004-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-09,12596,monthly,55.5,57.1,55.0,53.0,64.5,2004-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-10,12855,monthly,55.8,57.4,55.5,53.2,64.8,2004-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-11,11333,monthly,56.5,58.0,55.9,54.2,65.6,2004-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-12,11295,monthly,56.6,57.4,55.8,54.5,66.6,2004-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-01,7343,monthly,56.0,57.9,55.3,53.8,64.3,2005-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-02,7712,monthly,55.4,56.8,54.9,53.0,64.5,2005-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-03,9079,monthly,57.0,57.8,56.2,54.7,66.9,2005-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-04,10896,monthly,58.0,58.5,57.3,56.0,67.1,2005-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-05,10801,monthly,59.3,59.9,58.1,57.3,69.2,2005-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-06,12211,monthly,60.1,59.5,58.7,58.7,70.0,2005-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-07,12482,monthly,60.8,60.8,59.8,59.1,70.0,2005-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-08,11919,monthly,61.4,61.7,59.9,59.8,71.2,2005-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-09,12695,monthly,61.4,61.1,59.6,60.5,70.5,2005-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-10,11373,monthly,61.2,60.8,59.6,60.0,71.1,2005-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-11,11646,monthly,61.4,61.1,59.7,60.3,70.9,2005-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-12,13313,monthly,62.4,60.9,60.2,61.8,73.4,2005-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-01,9299,monthly,61.3,60.7,59.5,60.3,71.0,2006-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-02,9928,monthly,62.0,60.7,59.9,61.2,72.8,2006-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-03,13234,monthly,61.8,61.0,60.0,60.9,71.5,2006-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-04,11814,monthly,64.0,62.6,62.1,63.4,73.5,2006-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-05,13340,monthly,64.2,63.0,62.2,63.5,74.3,2006-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-06,15763,monthly,65.2,63.4,63.1,64.9,75.0,2006-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-07,13848,monthly,65.8,64.5,63.5,65.7,74.7,2006-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-08,14509,monthly,66.0,65.0,63.9,65.7,74.8,2006-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-09,14490,monthly,66.6,65.3,64.3,66.3,76.3,2006-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-10,14135,monthly,66.5,65.1,64.2,66.4,75.7,2006-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-11,14994,monthly,67.0,65.6,64.7,66.9,76.2,2006-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-12,15679,monthly,67.8,65.0,65.1,68.3,77.7,2006-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-01,10718,monthly,67.3,66.1,64.9,67.2,76.0,2007-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-02,11229,monthly,67.7,65.9,65.1,67.4,78.4,2007-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-03,13744,monthly,67.8,66.2,65.4,68.1,76.3,2007-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-04,12406,monthly,69.0,66.9,66.4,69.5,78.3,2007-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-05,13623,monthly,69.6,67.2,66.8,70.0,79.8,2007-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-06,15600,monthly,70.6,68.2,67.6,71.4,80.3,2007-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-07,14735,monthly,70.8,69.1,67.9,71.3,80.4,2007-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-08,15679,monthly,71.4,69.7,68.4,72.2,80.0,2007-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-09,12666,monthly,71.2,69.7,68.1,71.7,80.5,2007-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-10,13058,monthly,71.3,70.2,68.3,71.6,80.7,2007-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-11,13321,monthly,71.0,69.8,68.1,71.4,80.2,2007-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-12,10891,monthly,71.8,69.5,68.6,72.5,81.8,2007-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-01,7384,monthly,69.9,69.1,66.9,69.9,79.6,2008-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-02,8133,monthly,69.2,68.0,66.5,69.3,78.4,2008-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-03,7746,monthly,68.3,67.2,65.9,68.6,76.4,2008-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-04,8083,monthly,69.4,68.6,66.4,70.1,77.7,2008-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-05,8044,monthly,69.1,67.8,66.5,69.6,77.3,2008-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-06,7010,monthly,68.8,67.3,66.2,69.4,77.3,2008-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-07,6658,monthly,67.8,67.2,65.2,68.0,75.7,2008-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-08,5854,monthly,67.0,66.2,64.4,67.3,75.1,2008-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-09,5069,monthly,65.0,65.2,62.3,65.0,72.9,2008-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-10,5259,monthly,64.3,64.2,61.8,64.2,72.2,2008-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-11,4412,monthly,62.6,62.1,60.3,62.5,70.5,2008-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-12,4694,monthly,62.0,61.2,59.5,62.7,68.5,2008-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2009-01,3128,monthly,60.1,60.6,57.6,59.8,67.7,2009-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2009-02,3232,monthly,59.8,59.4,57.7,59.5,68.0,2009-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2009-03,4298,monthly,58.7,58.7,56.5,58.3,67.1,2009-03-01
