"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","House price index Detached houses","House price index Semi-detached houses","House price index Terraced houses","House price index Flats and maisonettes","Pivotable date"
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2000-06,18898,monthly,30.0,31.0,29.1,27.7,33.8,2000-06-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2000-07,17194,monthly,30.3,32.1,29.4,27.6,33.3,2000-07-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2000-08,16616,monthly,30.9,32.5,29.8,28.0,34.6,2000-08-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2000-09,14783,monthly,30.7,32.3,29.5,28.0,34.4,2000-09-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2000-10,14105,monthly,30.8,32.5,29.8,28.0,34.0,2000-10-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2000-11,14326,monthly,30.6,32.3,29.5,27.8,34.4,2000-11-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2000-12,15570,monthly,30.9,32.0,29.8,28.2,35.4,2000-12-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2001-01,11592,monthly,30.8,32.2,29.6,28.3,34.6,2001-01-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2001-02,11954,monthly,31.0,32.3,29.9,28.3,34.7,2001-02-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2001-03,15488,monthly,31.4,32.6,30.3,28.7,35.5,2001-03-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2001-04,16149,monthly,32.2,33.5,30.8,29.6,36.1,2001-04-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2001-05,18174,monthly,32.5,33.6,31.3,29.8,36.8,2001-05-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2001-06,20497,monthly,33.2,34.0,31.9,30.4,38.2,2001-06-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2001-07,20908,monthly,33.7,35.2,32.4,30.9,37.9,2001-07-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2001-08,22886,monthly,34.2,35.6,32.7,31.4,38.9,2001-08-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2001-09,17634,monthly,34.5,35.9,32.8,31.6,39.4,2001-09-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2001-10,18710,monthly,34.8,36.1,33.5,31.9,39.7,2001-10-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2001-11,18551,monthly,35.2,36.4,33.7,32.1,40.4,2001-11-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2001-12,16197,monthly,35.5,36.3,34.0,32.3,41.5,2001-12-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2002-01,12444,monthly,35.6,36.8,34.3,32.5,41.0,2002-01-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2002-02,13195,monthly,35.5,36.4,33.9,32.7,41.1,2002-02-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2002-03,17178,monthly,36.2,37.0,34.8,33.2,42.0,2002-03-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2002-04,17711,monthly,36.9,37.6,35.2,33.8,43.1,2002-04-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2002-05,23418,monthly,37.9,38.4,36.4,35.0,44.1,2002-05-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2002-06,18724,monthly,38.8,39.2,36.9,35.7,45.6,2002-06-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2002-07,23206,monthly,39.8,40.8,38.1,36.6,45.8,2002-07-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2002-08,23217,monthly,41.0,41.6,39.1,37.9,47.6,2002-08-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2002-09,18618,monthly,41.5,42.3,39.8,38.2,48.3,2002-09-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2002-10,18736,monthly,42.2,43.0,40.5,38.7,48.9,2002-10-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2002-11,18555,monthly,42.9,43.7,41.0,39.4,50.1,2002-11-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2002-12,17777,monthly,43.4,43.6,41.7,39.8,51.1,2002-12-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2003-01,13737,monthly,43.9,44.5,41.9,40.5,51.4,2003-01-01
