"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","House price index Detached houses","House price index Semi-detached houses","House price index Terraced houses","House price index Flats and maisonettes","Pivotable date"
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2000-06,5308,monthly,25.1,26.4,24.6,23.4,30.4,2000-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2000-07,4808,monthly,25.7,27.3,25.2,23.9,30.2,2000-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2000-08,4888,monthly,25.7,27.4,25.2,23.7,31.4,2000-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2000-09,4743,monthly,26.0,27.9,25.4,24.0,31.7,2000-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2000-10,4237,monthly,25.7,27.7,25.4,23.5,31.3,2000-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2000-11,4287,monthly,26.0,28.0,25.5,24.0,31.5,2000-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2000-12,4773,monthly,26.0,27.7,25.5,24.0,32.3,2000-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2001-01,2993,monthly,25.6,27.2,25.0,23.8,31.3,2001-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2001-02,3333,monthly,26.0,27.8,25.6,23.9,32.6,2001-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2001-03,4522,monthly,26.3,27.9,25.8,24.4,32.2,2001-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2001-04,4216,monthly,26.7,28.7,26.1,24.6,32.5,2001-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2001-05,4658,monthly,27.3,28.9,26.7,25.3,33.8,2001-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2001-06,5812,monthly,27.6,29.2,27.0,25.6,34.5,2001-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2001-07,5649,monthly,28.2,30.0,27.5,26.2,34.4,2001-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2001-08,6240,monthly,28.4,30.4,27.7,26.2,35.0,2001-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2001-09,4915,monthly,28.4,30.5,27.6,26.3,35.9,2001-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2001-10,5484,monthly,28.1,30.2,27.6,25.7,35.4,2001-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2001-11,5980,monthly,28.9,30.9,28.3,26.7,36.0,2001-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2001-12,4953,monthly,28.8,30.6,28.2,26.5,37.6,2001-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2002-01,3652,monthly,29.0,31.2,28.4,26.4,36.5,2002-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2002-02,4183,monthly,29.0,30.9,28.3,26.7,37.9,2002-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2002-03,5717,monthly,29.2,31.0,28.8,26.9,37.4,2002-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2002-04,5076,monthly,30.4,32.2,29.8,28.0,39.0,2002-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2002-05,6876,monthly,31.0,32.9,30.4,28.6,40.0,2002-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2002-06,5512,monthly,32.6,34.4,31.7,30.2,42.2,2002-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2002-07,6366,monthly,32.8,34.9,32.0,30.4,41.4,2002-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2002-08,6460,monthly,33.7,35.9,33.0,31.1,43.3,2002-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2002-09,5327,monthly,33.7,35.9,33.0,30.9,44.0,2002-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2002-10,5330,monthly,34.2,36.4,33.6,31.4,44.2,2002-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2002-11,6136,monthly,35.4,37.8,34.6,32.5,45.9,2002-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2002-12,5461,monthly,35.3,37.2,34.8,32.6,46.3,2002-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-01,3975,monthly,36.5,38.8,35.6,33.7,48.1,2003-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-02,3993,monthly,36.8,39.0,36.2,33.9,47.9,2003-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-03,4519,monthly,37.2,39.1,36.5,34.3,49.7,2003-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-04,4710,monthly,38.8,40.8,38.3,35.7,50.8,2003-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-05,5173,monthly,39.4,41.2,38.7,36.5,50.9,2003-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-06,5551,monthly,40.1,42.1,39.5,37.1,52.7,2003-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-07,5577,monthly,41.3,43.3,40.8,38.3,52.5,2003-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-08,5936,monthly,42.8,44.5,42.1,39.9,55.0,2003-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-09,5485,monthly,43.1,44.8,42.4,40.4,55.1,2003-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-10,6429,monthly,43.5,45.4,42.9,40.5,55.2,2003-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-11,6162,monthly,44.3,46.0,43.6,41.5,55.9,2003-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-12,6073,monthly,45.8,47.2,45.2,43.2,58.7,2003-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-01,4291,monthly,46.4,47.9,45.6,43.7,58.8,2004-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-02,4206,monthly,47.0,48.3,46.2,44.3,59.3,2004-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-03,5256,monthly,47.4,48.5,46.5,44.8,60.7,2004-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-04,5821,monthly,50.4,50.7,49.7,48.3,63.2,2004-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-05,5226,monthly,50.7,51.1,49.8,48.4,64.8,2004-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-06,5688,monthly,53.3,53.8,52.5,51.0,67.9,2004-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-07,6166,monthly,55.1,55.2,54.6,53.1,67.4,2004-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-08,4807,monthly,56.7,57.4,55.5,54.6,69.4,2004-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-09,4276,monthly,56.0,56.7,55.1,53.5,70.6,2004-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-10,4087,monthly,56.6,56.9,55.4,54.4,71.9,2004-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-11,3780,monthly,57.6,57.9,56.5,55.6,72.7,2004-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-12,3724,monthly,57.2,57.5,55.8,55.4,71.6,2004-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-01,2516,monthly,58.1,58.6,56.5,56.2,72.7,2005-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-02,2572,monthly,56.8,57.0,55.6,54.8,71.5,2005-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-03,3336,monthly,57.7,57.7,56.5,55.9,72.1,2005-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-04,3891,monthly,58.2,57.8,57.2,56.5,72.4,2005-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-05,3865,monthly,59.4,59.0,57.9,58.0,73.1,2005-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-06,4271,monthly,59.8,59.2,58.4,58.7,73.0,2005-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-07,4428,monthly,61.2,60.8,59.9,59.9,74.4,2005-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-08,4410,monthly,61.9,62.3,60.3,60.2,75.0,2005-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-09,4534,monthly,61.6,61.3,59.9,60.4,75.0,2005-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-10,4249,monthly,61.7,61.5,60.2,60.2,75.9,2005-10-01
