"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","House price index Detached houses","House price index Semi-detached houses","House price index Terraced houses","House price index Flats and maisonettes","Pivotable date"
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2000-06,10083,monthly,26.3,27.7,26.0,25.0,31.3,2000-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2000-07,8777,monthly,26.6,28.4,26.1,25.0,30.9,2000-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2000-08,9036,monthly,26.6,28.5,26.3,24.9,31.7,2000-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2000-09,8702,monthly,26.9,28.9,26.4,25.3,31.7,2000-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2000-10,8396,monthly,26.8,28.9,26.5,25.0,31.4,2000-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2000-11,8180,monthly,26.5,28.6,26.1,24.7,31.8,2000-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2000-12,8961,monthly,26.9,28.7,26.5,25.1,32.7,2000-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2001-01,5850,monthly,27.0,29.0,26.6,25.3,32.4,2001-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2001-02,6063,monthly,26.6,28.5,26.2,24.8,32.0,2001-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2001-03,8443,monthly,26.8,28.7,26.4,25.2,31.9,2001-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2001-04,8089,monthly,27.6,29.6,27.0,25.9,33.2,2001-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2001-05,9271,monthly,28.1,29.8,27.7,26.5,34.0,2001-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2001-06,11031,monthly,28.4,30.0,27.9,26.8,35.0,2001-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2001-07,10516,monthly,28.8,30.9,28.3,27.0,34.5,2001-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2001-08,11595,monthly,29.4,31.5,28.8,27.6,35.7,2001-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2001-09,9356,monthly,29.5,31.8,28.8,27.6,36.4,2001-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2001-10,10435,monthly,29.2,31.4,28.7,27.3,35.3,2001-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2001-11,11220,monthly,29.7,31.8,29.2,27.7,36.6,2001-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2001-12,9590,monthly,30.0,32.0,29.6,27.9,37.9,2001-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2002-01,7040,monthly,29.9,32.3,29.4,27.8,36.7,2002-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2002-02,7413,monthly,30.5,32.9,29.9,28.4,37.5,2002-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2002-03,10423,monthly,30.9,33.0,30.5,28.8,38.5,2002-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2002-04,9582,monthly,31.8,34.1,31.2,29.6,39.9,2002-04-01
